iso,SID,P_2019,GR_SID,area
vnm,10063,8400,611,1022
vnm,10051,6476,611,1542
vnm,10047,5615,611,1315
vnm,10049,6407,611,1517
vnm,10050,7356,611,1696
vnm,10059,7990,611,1762
vnm,10062,9264,611,1945
vnm,10046,9482,611,1190
vnm,10053,6700,611,1911
vnm,9155,10094,548,1070
vnm,9154,9760,548,996
vnm,9157,10090,548,1888
vnm,9152,7732,548,413
vnm,9151,10877,548,314
vnm,9149,5876,548,103
vnm,9148,6870,548,343
vnm,9150,13306,548,293
vnm,9153,6152,548,249
vnm,9156,8570,548,840
vnm,9159,7334,549,2458
vnm,9161,8227,549,3636
vnm,9165,8582,549,2125
vnm,9166,7258,549,2154
vnm,9168,9317,549,5483
vnm,9173,7920,549,5007
vnm,9171,9948,549,2536
vnm,9169,6321,549,2351
vnm,9160,16215,549,1603
vnm,9174,11663,549,2636
vnm,9170,8942,549,3606
vnm,9164,7759,549,2470
vnm,9162,11147,549,2768
vnm,9172,3232,549,3859
vnm,9167,10837,549,4499
vnm,9163,8099,549,1961
vnm,9195,20710,552,2647
vnm,9202,4412,552,1159
vnm,9201,5956,552,3785
vnm,9198,4342,552,1453
vnm,9200,6079,552,3312
vnm,9199,21532,552,1556
vnm,9197,6705,552,2558
vnm,9196,3074,552,4301
vnm,9190,8080,551,1152
vnm,9192,4046,551,723
vnm,9188,20258,551,1171
vnm,9189,38355,551,1504
vnm,9194,26831,551,1054
vnm,9193,30200,551,346
vnm,9191,6926,551,1608
vnm,9147,14906,547,2151
vnm,9139,19844,547,450
vnm,9131,6805,547,183
vnm,9144,25432,547,428
vnm,9145,33911,547,1072
vnm,9146,31589,547,1656
vnm,9133,14374,547,284
vnm,9134,18700,547,111
vnm,9135,16348,547,99
vnm,9136,14769,547,385
vnm,9138,27927,547,194
vnm,9140,21866,547,236
vnm,9141,12699,547,317
vnm,9143,19517,547,336
vnm,9142,34475,547,482
vnm,9137,21406,547,214
vnm,9132,16431,547,218
vnm,9181,9343,550,3915
vnm,9187,20560,550,9775
vnm,9179,3721,550,3970
vnm,9186,5120,550,5909
vnm,9182,10907,550,4453
vnm,9185,10330,550,8319
vnm,9184,19484,550,11801
vnm,9183,3939,550,2933
vnm,9175,16024,550,968
vnm,9177,13507,550,3848
vnm,9176,8178,550,5575
vnm,9180,6646,550,10506
vnm,9178,11543,550,2144
vnm,7360,1593,401,4894
vnm,7364,10070,401,4737
vnm,7358,1504,401,7839
vnm,7357,4028,401,1787
vnm,7366,683,401,4496
vnm,7365,1244,401,6544
vnm,7363,3064,401,2793
vnm,7362,888,401,31537
vnm,7359,2408,401,7773
vnm,7361,1936,401,10223
vnm,7460,17290,408,673
vnm,7461,16650,408,591
vnm,7467,10056,408,1040
vnm,7464,9173,408,1327
vnm,7465,13263,408,1384
vnm,7472,17354,408,3112
vnm,7469,12116,408,979
vnm,7470,7745,408,977
vnm,7471,8549,408,1410
vnm,7462,11145,408,2002
vnm,7466,9239,408,977
vnm,7468,10335,408,1141
vnm,7473,7931,408,7143
vnm,7474,8221,408,3911
vnm,7463,14822,408,1483
